Year,Team,Home Wins,Home Loss,Away Wins,Away Loss,HomePCT,AwayPCT,TotalPCT
2004,Milwaukee?Bucks,23,18,7,34,0.56097561,0.170731707,0.365853659
2005,Milwaukee?Bucks,25,16,15,26,0.609756098,0.365853659,0.487804878
2006,Milwaukee?Bucks,18,23,10,31,0.43902439,0.243902439,0.341463415
2007,Milwaukee?Bucks,19,22,7,34,0.463414634,0.170731707,0.317073171
2008,Milwaukee?Bucks,22,19,12,29,0.536585366,0.292682927,0.414634146
2009,Milwaukee?Bucks,28,13,18,23,0.682926829,0.43902439,0.56097561
2010,Milwaukee?Bucks,22,19,13,28,0.536585366,0.317073171,0.426829268
1951,Milwaukee?Hawks,7,13,3,22,0.35,0.12,0.257575758
1952,Milwaukee?Hawks,14,8,4,24,0.636363636,0.142857143,0.38028169
1953,Milwaukee?Hawks,10,14,6,17,0.416666667,0.260869565,0.291666667
1954,Milwaukee?Hawks,6,11,9,16,0.352941176,0.36,0.361111111
1950,Minneapolis?Lakers,29,3,12,21,0.90625,0.363636364,0.647058824
1951,Minneapolis?Lakers,21,5,13,19,0.807692308,0.40625,0.606060606
1952,Minneapolis?Lakers,24,2,16,15,0.923076923,0.516129032,0.685714286
1953,Minneapolis?Lakers,21,4,13,15,0.84,0.464285714,0.638888889
1954,Minneapolis?Lakers,18,6,10,14,0.75,0.416666667,0.555555556
1955,Minneapolis?Lakers,13,12,6,21,0.52,0.222222222,0.458333333
1956,Minneapolis?Lakers,18,13,9,22,0.580645161,0.290322581,0.472222222
1957,Minneapolis?Lakers,13,17,4,22,0.433333333,0.153846154,0.263888889
1958,Minneapolis?Lakers,15,7,9,17,0.681818182,0.346153846,0.458333333
1959,Minneapolis?Lakers,9,13,9,22,0.409090909,0.290322581,0.333333333
1989,Minnesota?Timberwolves,17,24,5,36,0.414634146,0.12195122,0.268292683
1990,Minnesota?Timberwolves,21,20,8,33,0.512195122,0.195121951,0.353658537
1991,Minnesota?Timberwolves,9,32,6,35,0.219512195,0.146341463,0.182926829
1992,Minnesota?Timberwolves,18,23,1,40,0.43902439,0.024390244,0.231707317
1993,Minnesota?Timberwolves,13,28,7,34,0.317073171,0.170731707,0.243902439
1994,Minnesota?Timberwolves,13,28,8,33,0.317073171,0.195121951,0.256097561
1995,Minnesota?Timberwolves,17,24,9,32,0.414634146,0.219512195,0.317073171
1996,Minnesota?Timberwolves,25,16,15,26,0.609756098,0.365853659,0.487804878
1997,Minnesota?Timberwolves,26,15,19,22,0.634146341,0.463414634,0.548780488
1998,Minnesota?Timberwolves,18,7,7,18,0.72,0.28,0.5
1999,Minnesota?Timberwolves,26,15,24,17,0.634146341,0.585365854,0.609756098
2000,Minnesota?Timberwolves,30,11,17,24,0.731707317,0.414634146,0.573170732
2001,Minnesota?Timberwolves,29,12,21,20,0.707317073,0.512195122,0.609756098
2002,Minnesota?Timberwolves,33,8,18,23,0.804878049,0.43902439,0.62195122
2003,Minnesota?Timberwolves,31,10,27,14,0.756097561,0.658536585,0.707317073
2004,Minnesota?Timberwolves,24,17,20,21,0.585365854,0.487804878,0.536585366
2005,Minnesota?Timberwolves,24,17,9,32,0.585365854,0.219512195,0.402439024
2006,Minnesota?Timberwolves,20,21,12,29,0.487804878,0.292682927,0.390243902
2007,Minnesota?Timberwolves,15,26,7,34,0.365853659,0.170731707,0.268292683
2008,Minnesota?Timberwolves,11,30,13,28,0.268292683,0.317073171,0.292682927
2009,Minnesota?Timberwolves,10,31,5,36,0.243902439,0.12195122,0.182926829
2010,Minnesota?Timberwolves,12,29,5,36,0.292682927,0.12195122,0.207317073
1977,NewJersey?Nets,18,23,6,35,0.43902439,0.146341463,0.292682927
1978,NewJersey?Nets,25,16,12,29,0.609756098,0.292682927,0.451219512
1979,NewJersey?Nets,22,19,12,29,0.536585366,0.292682927,0.414634146
1980,NewJersey?Nets,16,25,8,33,0.390243902,0.195121951,0.292682927
1981,NewJersey?Nets,25,16,19,22,0.609756098,0.463414634,0.536585366
1982,NewJersey?Nets,30,11,19,22,0.731707317,0.463414634,0.597560976
1983,NewJersey?Nets,29,12,16,25,0.707317073,0.390243902,0.548780488
1984,NewJersey?Nets,27,14,15,26,0.658536585,0.365853659,0.512195122
1985,NewJersey?Nets,26,15,13,28,0.634146341,0.317073171,0.475609756
1986,NewJersey?Nets,19,22,5,36,0.463414634,0.12195122,0.292682927
1987,NewJersey?Nets,16,25,3,38,0.390243902,0.073170732,0.231707317
1988,NewJersey?Nets,17,24,9,32,0.414634146,0.219512195,0.317073171
1989,NewJersey?Nets,13,28,4,37,0.317073171,0.097560976,0.207317073
1990,NewJersey?Nets,20,21,6,35,0.487804878,0.146341463,0.317073171
1991,NewJersey?Nets,25,16,15,26,0.609756098,0.365853659,0.487804878
1992,NewJersey?Nets,26,15,17,24,0.634146341,0.414634146,0.524390244
1993,NewJersey?Nets,29,12,16,25,0.707317073,0.390243902,0.548780488
1994,NewJersey?Nets,20,21,10,31,0.487804878,0.243902439,0.365853659
1995,NewJersey?Nets,20,21,10,31,0.487804878,0.243902439,0.365853659
1996,NewJersey?Nets,16,25,10,31,0.390243902,0.243902439,0.317073171
1997,NewJersey?Nets,26,15,17,24,0.634146341,0.414634146,0.524390244
1998,NewJersey?Nets,12,13,4,21,0.48,0.16,0.32
1999,NewJersey?Nets,22,19,9,32,0.536585366,0.219512195,0.37804878
2000,NewJersey?Nets,18,23,8,33,0.43902439,0.195121951,0.317073171
2001,NewJersey?Nets,33,8,19,22,0.804878049,0.463414634,0.634146341
2002,NewJersey?Nets,33,8,16,25,0.804878049,0.390243902,0.597560976
2003,NewJersey?Nets,28,13,19,22,0.682926829,0.463414634,0.573170732
2004,NewJersey?Nets,24,17,18,23,0.585365854,0.43902439,0.512195122
2005,NewJersey?Nets,29,12,20,21,0.707317073,0.487804878,0.597560976
2006,NewJersey?Nets,24,17,17,24,0.585365854,0.414634146,0.5
2007,NewJersey?Nets,21,20,13,28,0.512195122,0.317073171,0.414634146
2008,NewJersey?Nets,19,22,15,26,0.463414634,0.365853659,0.414634146
2009,NewJersey?Nets,8,33,4,37,0.195121951,0.097560976,0.146341463
2010,NewJersey?Nets,19,22,5,36,0.463414634,0.12195122,0.292682927
2002,NewOrleans?Hornets,29,12,18,23,0.707317073,0.43902439,0.573170732
2003,NewOrleans?Hornets,25,16,16,25,0.609756098,0.390243902,0.5
2004,NewOrleans?Hornets,11,30,7,34,0.268292683,0.170731707,0.219512195
2007,NewOrleans?Hornets,30,11,26,15,0.731707317,0.634146341,0.682926829
2008,NewOrleans?Hornets,28,13,21,20,0.682926829,0.512195122,0.597560976
2009,NewOrleans?Hornets,24,17,13,28,0.585365854,0.317073171,0.451219512
2010,NewOrleans?Hornets,28,13,18,23,0.682926829,0.43902439,0.56097561
1974,NewOrleans?Jazz,20,21,3,38,0.487804878,0.073170732,0.280487805
1975,NewOrleans?Jazz,22,19,16,25,0.536585366,0.390243902,0.463414634
1976,NewOrleans?Jazz,26,15,9,32,0.634146341,0.219512195,0.426829268
1977,NewOrleans?Jazz,27,14,12,29,0.658536585,0.292682927,0.475609756
1978,NewOrleans?Jazz,22,19,4,37,0.536585366,0.097560976,0.317073171
1950,NewYork?Knicks,22,5,10,25,0.814814815,0.285714286,0.545454545
1951,NewYork?Knicks,21,4,12,22,0.84,0.352941176,0.560606061
1952,NewYork?Knicks,21,4,15,14,0.84,0.517241379,0.671428571
1953,NewYork?Knicks,18,8,15,13,0.692307692,0.535714286,0.611111111
1954,NewYork?Knicks,17,8,8,19,0.68,0.296296296,0.527777778
1955,NewYork?Knicks,14,14,15,14,0.5,0.517241379,0.486111111
1956,NewYork?Knicks,19,12,11,20,0.612903226,0.35483871,0.5
1957,NewYork?Knicks,16,13,11,19,0.551724138,0.366666667,0.486111111
1958,NewYork?Knicks,21,9,15,15,0.7,0.5,0.555555556
1959,NewYork?Knicks,13,18,9,19,0.419354839,0.321428571,0.36
1960,NewYork?Knicks,10,22,7,25,0.3125,0.21875,0.265822785
1961,NewYork?Knicks,19,14,2,23,0.575757576,0.08,0.3625
1962,NewYork?Knicks,12,22,5,28,0.352941176,0.151515152,0.2625
1963,NewYork?Knicks,10,25,8,27,0.285714286,0.228571429,0.275
1964,NewYork?Knicks,16,19,8,22,0.457142857,0.266666667,0.3875
1965,NewYork?Knicks,20,14,4,30,0.588235294,0.117647059,0.375
1966,NewYork?Knicks,20,15,9,24,0.571428571,0.272727273,0.444444444
1967,NewYork?Knicks,20,17,21,16,0.540540541,0.567567568,0.524390244
1968,NewYork?Knicks,30,7,19,20,0.810810811,0.487179487,0.658536585
1969,NewYork?Knicks,30,11,27,10,0.731707317,0.72972973,0.731707317
1970,NewYork?Knicks,32,9,19,20,0.780487805,0.487179487,0.634146341
1971,NewYork?Knicks,27,14,20,19,0.658536585,0.512820513,0.585365854
1972,NewYork?Knicks,35,6,21,18,0.853658537,0.538461538,0.695121951
1973,NewYork?Knicks,28,13,21,19,0.682926829,0.525,0.597560976
1974,NewYork?Knicks,23,18,17,24,0.56097561,0.414634146,0.487804878
1975,NewYork?Knicks,24,17,14,27,0.585365854,0.341463415,0.463414634
1976,NewYork?Knicks,26,15,14,27,0.634146341,0.341463415,0.487804878
1977,NewYork?Knicks,29,12,14,27,0.707317073,0.341463415,0.524390244
1978,NewYork?Knicks,23,18,8,33,0.56097561,0.195121951,0.37804878
1979,NewYork?Knicks,25,16,14,27,0.609756098,0.341463415,0.475609756
1980,NewYork?Knicks,28,13,22,19,0.682926829,0.536585366,0.609756098
1981,NewYork?Knicks,19,22,14,27,0.463414634,0.341463415,0.402439024
1982,NewYork?Knicks,26,15,18,23,0.634146341,0.43902439,0.536585366
1983,NewYork?Knicks,29,12,18,23,0.707317073,0.43902439,0.573170732
1984,NewYork?Knicks,19,22,5,36,0.463414634,0.12195122,0.292682927
1985,NewYork?Knicks,15,26,8,33,0.365853659,0.195121951,0.280487805
1986,NewYork?Knicks,18,23,6,35,0.43902439,0.146341463,0.292682927
1987,NewYork?Knicks,29,12,9,32,0.707317073,0.219512195,0.463414634
1988,NewYork?Knicks,35,6,17,24,0.853658537,0.414634146,0.634146341
1989,NewYork?Knicks,29,12,16,25,0.707317073,0.390243902,0.548780488
1990,NewYork?Knicks,21,20,18,23,0.512195122,0.43902439,0.475609756
1991,NewYork?Knicks,30,11,21,20,0.731707317,0.512195122,0.62195122
1992,NewYork?Knicks,37,4,23,18,0.902439024,0.56097561,0.731707317
1993,NewYork?Knicks,32,9,25,16,0.780487805,0.609756098,0.695121951
1994,NewYork?Knicks,29,12,26,15,0.707317073,0.634146341,0.670731707
1995,NewYork?Knicks,26,15,21,20,0.634146341,0.512195122,0.573170732
1996,NewYork?Knicks,31,10,26,15,0.756097561,0.634146341,0.695121951
1997,NewYork?Knicks,28,13,15,26,0.682926829,0.365853659,0.524390244
1998,NewYork?Knicks,19,6,8,17,0.76,0.32,0.54
1999,NewYork?Knicks,33,8,17,24,0.804878049,0.414634146,0.609756098
2000,NewYork?Knicks,30,11,18,23,0.731707317,0.43902439,0.585365854
2001,NewYork?Knicks,19,22,11,30,0.463414634,0.268292683,0.365853659
2002,NewYork?Knicks,24,17,13,28,0.585365854,0.317073171,0.451219512
2003,NewYork?Knicks,23,18,16,25,0.56097561,0.390243902,0.475609756
2004,NewYork?Knicks,22,19,11,30,0.536585366,0.268292683,0.402439024
2005,NewYork?Knicks,15,26,8,33,0.365853659,0.195121951,0.280487805
2006,NewYork?Knicks,19,22,14,27,0.463414634,0.341463415,0.402439024
2007,NewYork?Knicks,15,26,8,33,0.365853659,0.195121951,0.280487805
2008,NewYork?Knicks,20,21,12,29,0.487804878,0.292682927,0.390243902
2009,NewYork?Knicks,18,23,11,30,0.43902439,0.268292683,0.353658537
2010,NewYork?Knicks,23,18,19,22,0.56097561,0.463414634,0.512195122
1976,NewYork?Nets,10,31,12,29,0.243902439,0.292682927,0.268292683
2008,OklahomaCity?Thunder,15,26,8,33,0.365853659,0.195121951,0.280487805
2009,OklahomaCity?Thunder,27,14,23,18,0.658536585,0.56097561,0.609756098
2010,OklahomaCity?Thunder,30,11,25,16,0.731707317,0.609756098,0.670731707
1989,Orlando?Magic,12,29,6,35,0.292682927,0.146341463,0.219512195
1990,Orlando?Magic,24,17,7,34,0.585365854,0.170731707,0.37804878
1991,Orlando?Magic,13,28,8,33,0.317073171,0.195121951,0.256097561
1992,Orlando?Magic,27,14,14,27,0.658536585,0.341463415,0.5
1993,Orlando?Magic,31,10,19,22,0.756097561,0.463414634,0.609756098
1994,Orlando?Magic,39,2,18,23,0.951219512,0.43902439,0.695121951
1995,Orlando?Magic,37,4,23,18,0.902439024,0.56097561,0.731707317
1996,Orlando?Magic,26,15,19,22,0.634146341,0.463414634,0.548780488
1997,Orlando?Magic,24,17,17,24,0.585365854,0.414634146,0.5
1998,Orlando?Magic,21,4,12,13,0.84,0.48,0.66
1999,Orlando?Magic,26,15,15,26,0.634146341,0.365853659,0.5
2000,Orlando?Magic,26,15,17,24,0.634146341,0.414634146,0.524390244
2001,Orlando?Magic,27,14,17,24,0.658536585,0.414634146,0.536585366
2002,Orlando?Magic,26,15,16,25,0.634146341,0.390243902,0.512195122
2003,Orlando?Magic,11,30,10,31,0.268292683,0.243902439,0.256097561
2004,Orlando?Magic,24,17,12,29,0.585365854,0.292682927,0.43902439
2005,Orlando?Magic,26,15,10,31,0.634146341,0.243902439,0.43902439
2006,Orlando?Magic,25,16,15,26,0.609756098,0.365853659,0.487804878
2007,Orlando?Magic,25,16,27,14,0.609756098,0.658536585,0.634146341
2008,Orlando?Magic,32,9,27,14,0.780487805,0.658536585,0.719512195
2009,Orlando?Magic,34,7,25,16,0.829268293,0.609756098,0.719512195
2010,Orlando?Magic,29,12,23,18,0.707317073,0.56097561,0.634146341
1963,Philadelphia?76ers,18,12,12,22,0.6,0.352941176,0.425
1964,Philadelphia?76ers,13,12,9,21,0.52,0.3,0.5
1965,Philadelphia?76ers,22,3,20,17,0.88,0.540540541,0.6875
1966,Philadelphia?76ers,28,2,26,8,0.933333333,0.764705882,0.839506173
1967,Philadelphia?76ers,27,8,25,12,0.771428571,0.675675676,0.756097561
1968,Philadelphia?76ers,26,8,24,16,0.764705882,0.6,0.670731707
1969,Philadelphia?76ers,22,16,16,22,0.578947368,0.421052632,0.512195122
1970,Philadelphia?76ers,24,15,21,18,0.615384615,0.538461538,0.573170732
1971,Philadelphia?76ers,14,23,14,26,0.378378378,0.35,0.365853659
1972,Philadelphia?76ers,2,26,5,36,0.071428571,0.12195122,0.109756098
1973,Philadelphia?76ers,14,23,9,30,0.378378378,0.230769231,0.304878049
1974,Philadelphia?76ers,20,21,14,27,0.487804878,0.341463415,0.414634146
1975,Philadelphia?76ers,34,7,12,29,0.829268293,0.292682927,0.56097561
1976,Philadelphia?76ers,32,9,18,23,0.780487805,0.43902439,0.609756098
1977,Philadelphia?76ers,37,4,18,23,0.902439024,0.43902439,0.670731707
1978,Philadelphia?76ers,31,10,16,25,0.756097561,0.390243902,0.573170732
1979,Philadelphia?76ers,36,5,23,18,0.87804878,0.56097561,0.719512195
1980,Philadelphia?76ers,37,4,25,16,0.902439024,0.609756098,0.756097561
1981,Philadelphia?76ers,32,9,26,15,0.780487805,0.634146341,0.707317073
1982,Philadelphia?76ers,35,6,30,11,0.853658537,0.731707317,0.792682927
1983,Philadelphia?76ers,32,9,20,21,0.780487805,0.487804878,0.634146341
1984,Philadelphia?76ers,34,7,24,17,0.829268293,0.585365854,0.707317073
1985,Philadelphia?76ers,31,10,23,18,0.756097561,0.56097561,0.658536585
1986,Philadelphia?76ers,28,13,17,24,0.682926829,0.414634146,0.548780488
1987,Philadelphia?76ers,27,14,9,32,0.658536585,0.219512195,0.43902439
1988,Philadelphia?76ers,30,11,16,25,0.731707317,0.390243902,0.56097561
1989,Philadelphia?76ers,34,7,19,22,0.829268293,0.463414634,0.646341463
1990,Philadelphia?76ers,29,12,15,26,0.707317073,0.365853659,0.536585366
1991,Philadelphia?76ers,23,18,12,29,0.56097561,0.292682927,0.426829268
1992,Philadelphia?76ers,15,26,11,30,0.365853659,0.268292683,0.317073171
1993,Philadelphia?76ers,15,26,10,31,0.365853659,0.243902439,0.304878049
1994,Philadelphia?76ers,14,27,10,31,0.341463415,0.243902439,0.292682927
1995,Philadelphia?76ers,11,30,7,34,0.268292683,0.170731707,0.219512195
1996,Philadelphia?76ers,11,30,11,30,0.268292683,0.268292683,0.268292683
1997,Philadelphia?76ers,19,22,12,29,0.463414634,0.292682927,0.37804878
1998,Philadelphia?76ers,17,8,11,14,0.68,0.44,0.56
1999,Philadelphia?76ers,29,12,20,21,0.707317073,0.487804878,0.597560976
2000,Philadelphia?76ers,29,12,27,14,0.707317073,0.658536585,0.682926829
2001,Philadelphia?76ers,22,19,21,20,0.536585366,0.512195122,0.524390244
2002,Philadelphia?76ers,25,16,23,18,0.609756098,0.56097561,0.585365854
2003,Philadelphia?76ers,21,20,12,29,0.512195122,0.292682927,0.402439024
2004,Philadelphia?76ers,25,16,18,23,0.609756098,0.43902439,0.524390244
2005,Philadelphia?76ers,23,18,15,26,0.56097561,0.365853659,0.463414634
2006,Philadelphia?76ers,21,20,14,27,0.512195122,0.341463415,0.426829268
2007,Philadelphia?76ers,22,19,18,23,0.536585366,0.43902439,0.487804878
2008,Philadelphia?76ers,24,17,17,24,0.585365854,0.414634146,0.5
2009,Philadelphia?76ers,12,29,15,26,0.292682927,0.365853659,0.329268293
2010,Philadelphia?76ers,26,15,15,26,0.634146341,0.365853659,0.5
1950,Philadelphia?Warriors,29,3,10,22,0.90625,0.3125,0.606060606
1951,Philadelphia?Warriors,24,7,6,25,0.774193548,0.193548387,0.5
1952,Philadelphia?Warriors,4,13,1,28,0.235294118,0.034482759,0.173913043
1953,Philadelphia?Warriors,10,9,6,16,0.526315789,0.272727273,0.402777778
1954,Philadelphia?Warriors,16,5,4,19,0.761904762,0.173913043,0.458333333
1955,Philadelphia?Warriors,21,7,11,17,0.75,0.392857143,0.625
1956,Philadelphia?Warriors,26,5,5,26,0.838709677,0.161290323,0.513888889
1957,Philadelphia?Warriors,16,12,12,19,0.571428571,0.387096774,0.513888889
1958,Philadelphia?Warriors,17,9,7,24,0.653846154,0.225806452,0.444444444
1959,Philadelphia?Warriors,22,6,12,19,0.785714286,0.387096774,0.653333333
1960,Philadelphia?Warriors,23,6,12,21,0.793103448,0.363636364,0.582278481
1961,Philadelphia?Warriors,18,11,18,19,0.620689655,0.486486486,0.6125
1968,Phoenix?Suns,11,26,4,28,0.297297297,0.125,0.195121951
1969,Phoenix?Suns,22,15,12,25,0.594594595,0.324324324,0.475609756
1970,Phoenix?Suns,27,14,19,20,0.658536585,0.487179487,0.585365854
1971,Phoenix?Suns,30,11,19,20,0.731707317,0.487179487,0.597560976
1972,Phoenix?Suns,22,19,15,25,0.536585366,0.375,0.463414634
1973,Phoenix?Suns,24,17,6,34,0.585365854,0.15,0.365853659
1974,Phoenix?Suns,22,19,10,31,0.536585366,0.243902439,0.390243902
1975,Phoenix?Suns,27,14,15,26,0.658536585,0.365853659,0.512195122
1976,Phoenix?Suns,26,15,8,33,0.634146341,0.195121951,0.414634146
1977,Phoenix?Suns,34,7,15,26,0.829268293,0.365853659,0.597560976
1978,Phoenix?Suns,32,9,18,23,0.780487805,0.43902439,0.609756098
1979,Phoenix?Suns,36,5,19,22,0.87804878,0.463414634,0.670731707
1980,Phoenix?Suns,36,5,21,20,0.87804878,0.512195122,0.695121951
1981,Phoenix?Suns,31,10,15,26,0.756097561,0.365853659,0.56097561
1982,Phoenix?Suns,32,9,21,20,0.780487805,0.512195122,0.646341463
1983,Phoenix?Suns,31,10,10,31,0.756097561,0.243902439,0.5
1984,Phoenix?Suns,26,15,10,31,0.634146341,0.243902439,0.43902439
1985,Phoenix?Suns,23,18,9,32,0.56097561,0.219512195,0.390243902
1986,Phoenix?Suns,26,15,10,31,0.634146341,0.243902439,0.43902439
1987,Phoenix?Suns,22,19,6,35,0.536585366,0.146341463,0.341463415
1988,Phoenix?Suns,35,6,20,21,0.853658537,0.487804878,0.670731707
1989,Phoenix?Suns,32,9,22,19,0.780487805,0.536585366,0.658536585
1990,Phoenix?Suns,32,9,23,18,0.780487805,0.56097561,0.670731707
1991,Phoenix?Suns,36,5,17,24,0.87804878,0.414634146,0.646341463
1992,Phoenix?Suns,35,6,27,14,0.853658537,0.658536585,0.756097561
1993,Phoenix?Suns,36,5,20,21,0.87804878,0.487804878,0.682926829
1994,Phoenix?Suns,32,9,27,14,0.780487805,0.658536585,0.719512195
1995,Phoenix?Suns,25,16,16,25,0.609756098,0.390243902,0.5
1996,Phoenix?Suns,25,16,15,26,0.609756098,0.365853659,0.487804878
1997,Phoenix?Suns,30,11,26,15,0.731707317,0.634146341,0.682926829
1998,Phoenix?Suns,15,10,12,13,0.6,0.48,0.54
1999,Phoenix?Suns,32,9,21,20,0.780487805,0.512195122,0.646341463
2000,Phoenix?Suns,31,10,20,21,0.756097561,0.487804878,0.62195122
2001,Phoenix?Suns,23,18,13,28,0.56097561,0.317073171,0.43902439
2002,Phoenix?Suns,30,11,14,27,0.731707317,0.341463415,0.536585366
2003,Phoenix?Suns,18,23,11,30,0.43902439,0.268292683,0.353658537
2004,Phoenix?Suns,31,10,31,10,0.756097561,0.756097561,0.756097561
2005,Phoenix?Suns,31,10,23,18,0.756097561,0.56097561,0.658536585
2006,Phoenix?Suns,33,8,28,13,0.804878049,0.682926829,0.743902439
2007,Phoenix?Suns,30,11,25,16,0.731707317,0.609756098,0.670731707
2008,Phoenix?Suns,28,13,18,23,0.682926829,0.43902439,0.56097561
2009,Phoenix?Suns,32,9,22,19,0.780487805,0.536585366,0.658536585
2010,Phoenix?Suns,23,18,17,24,0.56097561,0.414634146,0.487804878
1970,Portland?Trailblazers,18,21,9,26,0.461538462,0.257142857,0.353658537
1971,Portland?Trailblazers,14,26,4,35,0.35,0.102564103,0.219512195
1972,Portland?Trailblazers,13,28,8,32,0.317073171,0.2,0.256097561
1973,Portland?Trailblazers,22,19,5,34,0.536585366,0.128205128,0.329268293
1974,Portland?Trailblazers,28,13,10,31,0.682926829,0.243902439,0.463414634
1975,Portland?Trailblazers,26,15,11,30,0.634146341,0.268292683,0.451219512
1976,Portland?Trailblazers,35,6,14,27,0.853658537,0.341463415,0.597560976
1977,Portland?Trailblazers,36,5,22,19,0.87804878,0.536585366,0.707317073
1978,Portland?Trailblazers,33,8,12,29,0.804878049,0.292682927,0.548780488
1979,Portland?Trailblazers,26,15,12,29,0.634146341,0.292682927,0.463414634
1980,Portland?Trailblazers,30,11,15,26,0.731707317,0.365853659,0.548780488
1981,Portland?Trailblazers,27,14,15,26,0.658536585,0.365853659,0.512195122
1982,Portland?Trailblazers,31,10,15,26,0.756097561,0.365853659,0.56097561
1983,Portland?Trailblazers,33,8,15,26,0.804878049,0.365853659,0.585365854
1984,Portland?Trailblazers,30,11,12,29,0.731707317,0.292682927,0.512195122
1985,Portland?Trailblazers,27,14,13,28,0.658536585,0.317073171,0.487804878
1986,Portland?Trailblazers,34,7,15,26,0.829268293,0.365853659,0.597560976
1987,Portland?Trailblazers,33,8,20,21,0.804878049,0.487804878,0.646341463
1988,Portland?Trailblazers,28,13,11,30,0.682926829,0.268292683,0.475609756
1989,Portland?Trailblazers,35,6,24,17,0.853658537,0.585365854,0.719512195
1990,Portland?Trailblazers,36,5,27,14,0.87804878,0.658536585,0.768292683
1991,Portland?Trailblazers,33,8,24,17,0.804878049,0.585365854,0.695121951
1992,Portland?Trailblazers,30,11,21,20,0.731707317,0.512195122,0.62195122
1993,Portland?Trailblazers,30,11,17,24,0.731707317,0.414634146,0.573170732
1994,Portland?Trailblazers,26,15,18,23,0.634146341,0.43902439,0.536585366
1995,Portland?Trailblazers,26,15,18,23,0.634146341,0.43902439,0.536585366
1996,Portland?Trailblazers,29,12,20,21,0.707317073,0.487804878,0.597560976
1997,Portland?Trailblazers,26,15,20,21,0.634146341,0.487804878,0.56097561
1998,Portland?Trailblazers,22,3,13,12,0.88,0.52,0.7
1999,Portland?Trailblazers,30,11,29,12,0.731707317,0.707317073,0.719512195
2000,Portland?Trailblazers,28,13,22,19,0.682926829,0.536585366,0.609756098
2001,Portland?Trailblazers,30,11,19,22,0.731707317,0.463414634,0.597560976
2002,Portland?Trailblazers,27,14,23,18,0.658536585,0.56097561,0.609756098
2003,Portland?Trailblazers,25,16,16,25,0.609756098,0.390243902,0.5
2004,Portland?Trailblazers,18,23,9,32,0.43902439,0.219512195,0.329268293
2005,Portland?Trailblazers,15,26,6,35,0.365853659,0.146341463,0.256097561
2006,Portland?Trailblazers,18,23,14,27,0.43902439,0.341463415,0.390243902
2007,Portland?Trailblazers,28,13,13,28,0.682926829,0.317073171,0.5
2008,Portland?Trailblazers,34,7,20,21,0.829268293,0.487804878,0.658536585
2009,Portland?Trailblazers,26,15,24,17,0.634146341,0.585365854,0.609756098
2010,Portland?Trailblazers,30,11,18,23,0.731707317,0.43902439,0.585365854
1950,Rochester?Royals,29,5,12,22,0.852941176,0.352941176,0.602941176
1951,Rochester?Royals,28,5,12,18,0.848484848,0.4,0.621212121
1952,Rochester?Royals,24,8,13,16,0.75,0.448275862,0.628571429
1953,Rochester?Royals,18,10,12,15,0.642857143,0.444444444,0.611111111
1954,Rochester?Royals,17,11,4,19,0.607142857,0.173913043,0.402777778
1955,Rochester?Royals,15,14,7,21,0.517241379,0.25,0.430555556
1956,Rochester?Royals,19,12,9,22,0.612903226,0.290322581,0.430555556
1985,Sacramento?Kings,25,16,12,29,0.609756098,0.292682927,0.451219512
1986,Sacramento?Kings,20,21,9,32,0.487804878,0.219512195,0.353658537
1987,Sacramento?Kings,19,22,5,36,0.463414634,0.12195122,0.292682927
1988,Sacramento?Kings,21,20,6,35,0.512195122,0.146341463,0.329268293
1989,Sacramento?Kings,16,25,7,34,0.390243902,0.170731707,0.280487805
1990,Sacramento?Kings,24,17,1,40,0.585365854,0.024390244,0.304878049
1991,Sacramento?Kings,21,20,8,33,0.512195122,0.195121951,0.353658537
1992,Sacramento?Kings,16,25,9,32,0.390243902,0.219512195,0.304878049
1993,Sacramento?Kings,20,21,8,33,0.487804878,0.195121951,0.341463415
1994,Sacramento?Kings,27,14,12,29,0.658536585,0.292682927,0.475609756
1995,Sacramento?Kings,26,15,13,28,0.634146341,0.317073171,0.475609756
1996,Sacramento?Kings,22,19,12,29,0.536585366,0.292682927,0.414634146
1997,Sacramento?Kings,21,20,6,35,0.512195122,0.146341463,0.329268293
1998,Sacramento?Kings,16,9,11,14,0.64,0.44,0.54
1999,Sacramento?Kings,30,11,14,27,0.731707317,0.341463415,0.536585366
2000,Sacramento?Kings,33,8,22,19,0.804878049,0.536585366,0.670731707
2001,Sacramento?Kings,36,5,25,16,0.87804878,0.609756098,0.743902439
2002,Sacramento?Kings,35,6,24,17,0.853658537,0.585365854,0.719512195
2003,Sacramento?Kings,34,7,21,20,0.829268293,0.512195122,0.670731707
2004,Sacramento?Kings,30,11,20,21,0.731707317,0.487804878,0.609756098
2005,Sacramento?Kings,27,14,17,24,0.658536585,0.414634146,0.536585366
2006,Sacramento?Kings,20,21,13,28,0.487804878,0.317073171,0.402439024
2007,Sacramento?Kings,26,15,12,29,0.634146341,0.292682927,0.463414634
2008,Sacramento?Kings,11,30,6,35,0.268292683,0.146341463,0.207317073
2009,Sacramento?Kings,18,23,7,34,0.43902439,0.170731707,0.304878049
2010,Sacramento?Kings,11,30,13,28,0.268292683,0.317073171,0.292682927
1976,SanAntonio?Spurs,31,10,13,28,0.756097561,0.317073171,0.536585366
1977,SanAntonio?Spurs,32,9,20,21,0.780487805,0.487804878,0.634146341
